"","Years","n_customers","n_still_here","n_churners","churn_rate","retention_rate"
"1",1,278,256,22,0.08,0.92
"2",2,108,96,12,0.11,0.89
"3",3,92,80,12,0.13,0.87
"4",4,79,70,9,0.11,0.89
"5",5,66,59,7,0.11,0.89
"6",6,57,54,3,0.05,0.95
"7",7,48,43,5,0.1,0.9
"8",8,41,38,3,0.07,0.93
"9",9,34,29,5,0.15,0.85
"10",10,30,25,5,0.17,0.83
"11",11,25,23,2,0.08,0.92
"12",12,21,18,3,0.14,0.86
"13",13,18,16,2,0.11,0.89
"14",14,16,15,1,0.06,0.94
"15",15,13,11,2,0.15,0.85
"16",16,11,11,0,0,1
"17",17,10,9,1,0.1,0.9
"18",18,8,8,0,0,1
"19",19,6,6,0,0,1
"20",20,6,5,1,0.17,0.83
"21",21,5,5,0,0,1
"22",22,4,4,0,0,1
"23",23,4,4,0,0,1
"24",24,3,3,0,0,1
"25",25,3,3,0,0,1
"26",26,1,1,0,0,1
"27",27,2,2,0,0,1
"28",28,2,2,0,0,1
"29",29,2,2,0,0,1
"30",31,1,1,0,0,1
"31",32,2,1,1,0.5,0.5
"32",34,1,0,1,1,0
"33",36,1,1,0,0,1
"34",39,1,1,0,0,1
"35",45,1,1,0,0,1
